PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Notes
P35177,LB-11-8,A25177,LB-11-8,none,none,nature,wild,none,S45177,11-8,leaf,Emelliodora_LB_Block2,A11,site11-8,none,
P35178,LB-11-9,A25178,LB-11-9,none,none,nature,wild,none,S45178,11-9,leaf,Emelliodora_LB_Block2,B11,site11-9,none,
P35179,LB-11-10,A25179,LB-11-10,none,none,nature,wild,none,S45179,11-10,leaf,Emelliodora_LB_Block2,C11,site11-10,none,
P35180,LB-i2-1,A25180,LB-i2-1,none,none,nature,wild,none,S45180,i2-1,leaf,Emelliodora_LB_Block2,D11,i2-1,none,
P35181,LB-i2-2,A25181,LB-i2-2,none,none,nature,wild,none,S45181,i2-2,leaf,Emelliodora_LB_Block2,E11,i2-2,none,
P35182,LB-i2-3,A25182,LB-i2-3,none,none,nature,wild,none,S45182,i2-3,leaf,Emelliodora_LB_Block2,F11,i2-3,none,
P35183,LB-i2-4,A25183,LB-i2-4,none,none,nature,wild,none,S45183,i2-4,leaf,Emelliodora_LB_Block2,G11,i2-4,none,
P35184,LB-i2-5,A25184,LB-i2-5,none,none,nature,wild,none,S45184,i2-5,leaf,Emelliodora_LB_Block2,H11,i2-5,none,
P35185,LB-i2-6,A25185,LB-i2-6,none,none,nature,wild,none,S45185,i2-6,leaf,Emelliodora_LB_Block2,A12,i2-6,none,
P35186,LB-i2-7,A25186,LB-i2-7,none,none,nature,wild,none,S45186,i2-7,leaf,Emelliodora_LB_Block2,B12,i2-7,none,
P35187,LB-i2-8,A25187,LB-i2-8,none,none,nature,wild,none,S45187,i2-8,leaf,Emelliodora_LB_Block2,C12,i2-8,none,
P35188,LB-i2-9,A25188,LB-i2-9,none,none,nature,wild,none,S45188,i2-9,leaf,Emelliodora_LB_Block2,D12,i2-9,none,failed—too few reads
